,altitude_km,T,P,rho,CO2,O,CO,O2
0,0,288.0,1.0,0.0,0.85,0.0,1.5e-05,1e-06
1,1,282.05,0.88905,1.57718848882158,0.85,1.1519e-13,2.502e-06,6.166500000000001e-07
2,2,274.1,0.78835,1.4391081111340314,0.85,3.9575e-13,2.485e-06,2.218e-07
3,3,266.2,0.6966,1.3093589993947692,0.85,8.396999999999999e-13,2.4695e-06,2.419e-08
4,4,258.3,0.6132500000000001,1.1879453480346305,0.85,3.757e-13,2.4829999999999998e-06,8.449e-11
5,5,250.35000000000002,0.53765,1.0745716160988408,0.85,5.4345e-13,2.509e-06,4.346e-12
6,6,242.4,0.46950000000000003,0.969139492736182,0.85,1.067e-12,2.5389999999999997e-06,5.9435e-12
7,7,234.5,0.4081,0.8707772180773468,0.85,1.7885e-12,2.5715e-06,9.7005e-12
8,8,226.6,0.353,0.7794676765860931,0.85,2.8004999999999996e-12,2.6075e-06,2.4770000000000002e-11
9,9,218.64999999999998,0.3039,0.6954477860475227,0.85,4.1955e-12,2.6474999999999996e-06,1.0233e-10
10,10,210.7,0.2601,0.6176737246819496,0.85,6.0445e-12,2.692e-06,4.998000000000001e-10
11,11,202.8,0.2213,0.5460051947817598,0.85,8.674e-12,2.7445e-06,2.8465e-09
12,12,194.9,0.1871,0.48033614212159753,0.85,1.169e-11,2.8265e-06,2.042e-08
13,13,186.95,0.15710000000000002,0.42046906886335267,0.85,1.416e-11,2.984e-06,8.119e-08
14,14,180.5,0.13105,0.36328142643984357,0.85,1.673e-11,3.2365e-06,1.9359999999999999e-07
15,15,180.0,0.10885,0.3025794016859941,0.85,2.0119999999999997e-11,3.598e-06,3.6235e-07
16,16,180.0,0.09046499999999999,0.2514731328343663,0.85,2.4669999999999997e-11,4.0885e-06,5.9675e-07
17,17,180.0,0.075185,0.208998087690174,0.85,3.0875000000000003e-11,4.7300000000000005e-06,9.069e-07
18,18,180.0,0.062479999999999994,0.17368098055054712,0.85,3.9255e-11,5.547500000000001e-06,1.3055e-06
19,19,180.0,0.051930000000000004,0.14435430222113194,0.85,5.0575000000000004e-11,6.5715e-06,1.8075e-06
20,20,180.0,0.043160000000000004,0.11997563406099142,0.85,6.621e-11,7.8415e-06,2.4319999999999998e-06
21,21,180.0,0.035875000000000004,0.09972494021354629,0.85,8.882e-11,9.403e-06,3.2014999999999998e-06
22,22,180.0,0.029824999999999997,0.08290727527489701,0.85,1.2325000000000001e-10,1.1315e-05,4.145e-06
23,23,180.0,0.024795,0.06892498602191899,0.85,1.7765e-10,1.364e-05,5.2945e-06
24,24,180.0,0.02061,0.05729161076646819,0.85,2.648e-10,1.6454999999999997e-05,6.692e-06
25,25,180.0,0.017140000000000002,0.047644861892651234,0.84995,4.042e-10,1.988e-05,8.3855e-06
26,26,180.0,0.014245,0.03959679558358853,0.8499,6.2385e-10,2.4010000000000002e-05,1.04365e-05
27,27,180.0,0.011845,0.03292558343820794,0.8499,9.6335e-10,2.8995000000000003e-05,1.291e-05
28,28,180.0,0.009853500000000001,0.027389867566731865,0.8499,1.4765e-09,3.5015e-05,1.5895e-05
29,29,180.0,0.0081925,0.022772833145529445,0.8499,2.235e-09,4.2255e-05,1.9495000000000002e-05
30,30,180.0,0.006813,0.018938276345031563,0.8499,3.3335e-09,5.097e-05,2.3825e-05
31,31,180.0,0.0056665,0.015750777312166342,0.8498,4.8985e-09,6.1445e-05,2.904e-05
32,32,180.0,0.004713,0.013100462577010247,0.8498,7.0974999999999995e-09,7.403e-05,3.5305e-05
33,33,180.0,0.0039204999999999995,0.010897657670802596,0.8498,1.01625e-08,8.9135e-05,4.2825e-05
34,34,180.0,0.003261,0.00906418599445241,0.8497,1.44e-08,0.00010725,5.184e-05
35,35,180.0,0.002713,0.007540897862728634,0.84965,2.024e-08,0.0001289,6.264e-05
36,36,180.0,0.002257,0.006273368423025107,0.8496,2.827e-08,0.0001549,7.558e-05
37,37,180.0,0.0018775,0.005218403282155198,0.8495,3.9285e-08,0.00018590000000000002,9.104e-05
38,38,180.0,0.0015625,0.004342773499878052,0.8494,5.438e-08,0.00022295,0.0001095
39,39,180.0,0.0013,0.0036131096964489608,0.8493,7.5045e-08,0.00026715,0.0001315
40,40,180.0,0.0010815,0.0030057165738805692,0.84915,1.03295e-07,0.00031975,0.00015775
