,altitude_km,T,P,rho,CO2,O,CO,O2
0,0,288.0,1.0,0.0,0.85,0.0,1.5e-05,1e-06
1,1,282.95000000000005,0.88915,1.5723486438617273,0.85,1.24425e-13,2.7270000000000003e-06,6.149e-07
2,2,276.25,0.78895,1.4289945652902445,0.85,4.1369999999999994e-13,2.7165e-06,2.18e-07
3,3,269.54999999999995,0.6980500000000001,1.2957777346402775,0.85,8.303e-13,2.7139999999999998e-06,2.23515e-08
4,4,262.9,0.61565,1.1717274606437071,0.85,3.308e-13,2.744e-06,7.0405e-11
5,5,256.2,0.54125,1.0570659762057601,0.85,4.7365e-13,2.7880000000000002e-06,3.616e-12
6,6,249.5,0.47419999999999995,0.9509864087117147,0.85,9.169e-13,2.8385e-06,4.485e-12
7,7,242.75,0.41400000000000003,0.8533445379100809,0.85,1.541e-12,2.8945e-06,5.685e-12
8,8,236.10000000000002,0.3601,0.7631509422108061,0.85,2.4420000000000003e-12,2.9565e-06,8.679e-12
9,9,229.39999999999998,0.31194999999999995,0.6804165786765416,0.85,3.7485e-12,3.026e-06,1.722e-11
10,10,222.65,0.2691,0.6047478162072837,0.85,5.658999999999999e-12,3.1029999999999998e-06,3.6819999999999995e-11
11,11,220.0,0.23135,0.5261749076288796,0.85,8.2065e-12,3.19e-06,6.4985e-11
12,12,220.0,0.1988,0.4521442474167758,0.85,1.176e-11,3.29e-06,1.06705e-10
13,13,220.0,0.17085,0.38857567744279947,0.85,1.704e-11,3.4049999999999996e-06,1.8395e-10
14,14,220.0,0.14679999999999999,0.3338771405067607,0.85,2.502e-11,3.5385e-06,3.4595000000000003e-10
15,15,220.0,0.12614999999999998,0.28691145291326375,0.85,3.6220000000000005e-11,3.6925e-06,7.4335e-10
16,16,220.0,0.1084,0.24654143102463888,0.85,4.8039999999999996e-11,3.871e-06,1.9165e-09
17,17,220.0,0.093185,0.21193693100981553,0.85,4.9119999999999994e-11,4.08e-06,5.959e-09
18,18,220.0,0.0801,0.1821768350291087,0.85,3.7065000000000003e-11,4.3345e-06,2.114e-08
19,19,220.0,0.06884499999999999,0.15657883523150964,0.85,3.095e-11,4.6725e-06,7.239e-08
20,20,220.0,0.059179999999999996,0.1345970855763039,0.85,3.138e-11,5.151e-06,1.9690000000000002e-07
21,21,220.0,0.05087,0.11569710943686491,0.85,3.4465e-11,5.817e-06,4.2345e-07
22,22,220.0,0.04373,0.09945814735739691,0.85,3.9265e-11,6.71e-06,7.73e-07
23,23,220.0,0.037599999999999995,0.08551629894942037,0.85,4.597e-11,7.8695e-06,1.264e-06
24,24,220.0,0.03232,0.07350766404872185,0.85,5.538e-11,9.338000000000001e-06,1.916e-06
25,25,220.0,0.027790000000000002,0.06320480495037333,0.85,6.8945e-11,1.1164999999999999e-05,2.751e-06
26,26,220.0,0.023895,0.05434616860040747,0.85,8.8955e-11,1.3395e-05,3.7935e-06
27,27,220.0,0.020545,0.04672706139186595,0.85,1.19e-10,1.609e-05,5.072e-06
28,28,220.0,0.017669999999999998,0.040188277417694235,0.85,1.643e-10,1.9335e-05,6.6225e-06
29,29,220.0,0.015195,0.034557909603441,0.8499,2.3265000000000002e-10,2.32e-05,8.483500000000001e-06
30,30,220.0,0.013065,0.029713712439798746,0.8499,3.3505e-10,2.7785e-05,1.0705e-05
31,31,220.0,0.01124,0.025563169039469036,0.8499,4.869500000000001e-10,3.3194999999999996e-05,1.3335e-05
32,32,220.0,0.009666000000000001,0.021983468412903072,0.8499,7.089499999999999e-10,3.9575e-05,1.6455e-05
33,33,220.0,0.008313999999999998,0.018908656358023634,0.8499,1.029e-09,4.7065e-05,2.0125e-05
34,34,220.0,0.007151,0.016263681792314372,0.8499,1.4825e-09,5.585e-05,2.444e-05
35,35,220.0,0.0061515,0.013990281738810999,0.84985,2.1165000000000003e-09,6.614e-05,2.951e-05
36,36,220.0,0.005292,0.01203535490528286,0.8498,2.9915e-09,7.8175e-05,3.5455000000000005e-05
37,37,220.0,0.0045525,0.010353599040598195,0.8498,4.185e-09,9.2235e-05,4.2405e-05
38,38,220.0,0.0039165,0.008907049838062448,0.84975,5.7970000000000006e-09,0.00010865,5.0535e-05
39,39,220.0,0.0033695,0.007662950704891371,0.8497,7.956e-09,0.00012780000000000002,6.002999999999999e-05
40,40,220.0,0.0028989999999999997,0.006592864304444851,0.84965,1.0825e-08,0.00015010000000000002,7.1115e-05
41,41,220.0,0.0024945,0.005672903469093985,0.8496,1.461e-08,0.0001761,8.4035e-05
42,42,220.0,0.0021465,0.004881363081444746,0.8495,1.9585e-08,0.00020645,9.912e-05
43,43,220.0,0.0018475000000000002,0.004201381832064056,0.84945,2.6075e-08,0.00024165,0.00011659999999999999
44,44,220.0,0.0015895,0.0036145842122578308,0.84935,3.4519999999999994e-08,0.00028264999999999996,0.000137
45,45,220.0,0.0013679999999999999,0.0031108218473754503,0.8492500000000001,4.5445e-08,0.0003302,0.00016075
46,46,220.0,0.0011775,0.002677580002123532,0.84915,5.9530000000000004e-08,0.00038555,0.00018830000000000002
47,47,220.0,0.00101325,0.0023039626185424387,0.84895,7.7635e-08,0.00044970000000000003,0.0002203
48,48,220.0,0.0008723,0.001983445972049241,0.84885,1.00795e-07,0.0005241499999999999,0.00025739999999999997
49,49,220.0,0.00075085,0.001707216777760947,0.84865,1.304e-07,0.0006104999999999999,0.0003005
50,50,220.0,0.00064635,0.0014695289178084387,0.8484,1.6805e-07,0.0007105,0.0003504
