,altitude_km,T,P,rho,CO2,O,CO,O2
0,0,288.0,1.0,0.0,0.6,0.0,1.5e-05,1e-06
1,1,282.05,0.8927,1.4313878052099887,0.6,3.24e-13,9.564e-05,1.5537149999999998e-07
2,2,274.1,0.7916,1.3060944222013684,0.6,5.7896e-14,9.56e-05,3.02356e-11
3,3,266.2,0.69945,1.1883009604071415,0.6,3.7079999999999995e-15,9.562000000000001e-05,1.836e-13
4,4,258.3,0.61575,1.0780970038647066,0.6,1.21465e-14,9.565e-05,4.5220000000000003e-13
5,5,250.35000000000002,0.5399,0.9753119748308786,0.6,4.2075e-14,9.569e-05,9.080999999999999e-13
6,6,242.4,0.47145000000000004,0.8795911465104137,0.6,1.1753e-13,9.573e-05,1.3889999999999998e-12
7,7,234.5,0.4098,0.7903272051723454,0.6,2.8965e-13,9.578000000000001e-05,1.4624999999999999e-12
8,8,226.6,0.3545,0.7075125677280558,0.6,6.258e-13,9.5835e-05,1.4985e-12
9,9,218.64999999999998,0.30515000000000003,0.6311632697447783,0.6,1.1895000000000001e-12,9.588500000000001e-05,1.9725e-12
10,10,210.7,0.26115,0.5605357538188074,0.6,2.0665e-12,9.5955e-05,3.7465e-12
11,11,202.8,0.22225,0.4956232186517353,0.6,3.4515e-12,9.601999999999999e-05,9.3695e-12
12,12,194.9,0.1879,0.4360063011766468,0.6,5.8095e-12,9.61e-05,3.181e-11
13,13,186.95,0.1578,0.38173269129142784,0.6,1.0268e-11,9.619e-05,1.21595e-10
14,14,180.5,0.13155,0.3296032391725844,0.6,1.8145e-11,9.6285e-05,3.674e-10
15,15,180.0,0.10935,0.27474140022735144,0.6,2.943e-11,9.640500000000001e-05,7.776e-10
16,16,180.0,0.09084,0.22823510572279126,0.6,4.5275e-11,9.654499999999999e-05,1.4489999999999999e-09
17,17,180.0,0.07549,0.18966829752223535,0.6,6.723e-11,9.671e-05,2.542e-09
18,18,180.0,0.06274,0.15763397806468296,0.6,9.74e-11,9.6905e-05,4.287000000000001e-09
