,altitude_km,T,P,rho,CO2,O,CO,O2
0,0,288.0,1.0,0.0,0.01,0.0,1.5e-05,1e-06
1,1,282.05,0.9013500000000001,1.0824057987035813,0.01,1.4015000000000001e-13,9.211000000000001e-05,2.4499e-07
2,2,274.1,0.79925,0.987634472279409,0.01,9.556e-14,9.209e-05,7.795750000000001e-10
3,3,266.2,0.70625,0.898613709425943,0.01,8.128e-15,9.212e-05,2.3868e-13
4,4,258.3,0.6217,0.8152280072579048,0.01,1.7905e-14,9.216500000000001e-05,4.5565000000000006e-15
5,5,250.35000000000002,0.5451,0.7374816464551146,0.01,5.573e-14,9.2225e-05,6.6515e-15
6,6,242.4,0.476,0.6651153448276873,0.01,1.581e-13,9.2285e-05,1.19915e-14
7,7,234.5,0.41375,0.5976099091469228,0.01,4.1264999999999996e-13,9.236e-05,3.587e-14
8,8,226.6,0.3579,0.5349638345426249,0.01,1.0046e-12,9.244e-05,1.8555e-13
9,9,218.64999999999998,0.30805,0.47719332679856996,0.01,2.2775e-12,9.2525e-05,9.29e-13
10,10,210.7,0.26370000000000005,0.4239046928705643,0.01,4.883e-12,9.2625e-05,4.2024999999999995e-12
11,11,202.8,0.2244,0.3747809711493017,0.01,1.0189e-11,9.273e-05,1.8635e-11
12,12,194.9,0.1897,0.3296690086300058,0.01,2.1e-11,9.2855e-05,8.604000000000001e-11
13,13,186.95,0.1593,0.28861103801906773,0.01,4.1065e-11,9.2995e-05,4.0465000000000005e-10
14,14,180.5,0.13285000000000002,0.24929122025526937,0.01,6.9555e-11,9.314999999999999e-05,1.2939999999999999e-09
15,15,180.0,0.1104,0.20773955636981895,0.01,1.0138e-10,9.333e-05,2.5815e-09
16,16,180.0,0.09172,0.17258942163396251,0.01,1.4555e-10,9.354e-05,4.36e-09
17,17,180.0,0.076225,0.14343249781243583,0.01,2.101e-10,9.3795e-05,6.746e-09
18,18,180.0,0.063345,0.1191961487997601,0.009999,3.0594999999999996e-10,9.409e-05,9.753499999999999e-09
19,19,180.0,0.05265,0.09907139094806862,0.009999,4.5024999999999997e-10,9.4445e-05,1.3355e-08
20,20,180.0,0.04376,0.08234309758319276,0.009999,6.6955e-10,9.486e-05,1.7469999999999997e-08
21,21,180.0,0.03637,0.06843735087203233,0.009999,1.0026999999999999e-09,9.535e-05,2.202e-08
22,22,180.0,0.030234999999999998,0.05689310253337376,0.009998,1.506e-09,9.5925e-05,2.6975000000000002e-08
23,23,180.0,0.02513,0.04728704067943731,0.009998,2.2505e-09,9.659499999999999e-05,3.2349999999999995e-08
24,24,180.0,0.020895,0.039318043795341366,0.0099975,3.322e-09,9.7395e-05,3.8345000000000004e-08
25,25,180.0,0.01737,0.03268505535602383,0.009997,4.811e-09,9.832499999999999e-05,4.5294999999999996e-08
26,26,180.0,0.014445,0.027181080051556592,0.009996,6.795e-09,9.942999999999999e-05,5.375e-08
27,27,180.0,0.01201,0.022599147266945924,0.009995500000000001,9.333499999999999e-09,0.00010075000000000001,6.4385e-08
28,28,180.0,0.0099885,0.018795292041523266,0.0099945,1.2469999999999999e-08,0.00010224999999999999,7.8035e-08
29,29,180.0,0.0083055,0.01562839387671766,0.009993499999999999,1.623e-08,0.0001041,9.5695e-08
30,30,180.0,0.006907,0.012996836686016025,0.009992,2.0639999999999998e-08,0.0001062,1.1844999999999999e-07
31,31,180.0,0.0057445,0.010809362538453724,0.0099905,2.571e-08,0.00010875,1.4795e-07
32,32,180.0,0.004778,0.008990700256825088,0.0099885,3.1449999999999994e-08,0.00011175,1.86e-07
33,33,180.0,0.0039745,0.007478756694705211,0.009986499999999999,3.7824999999999996e-08,0.0001153,2.3574999999999998e-07
34,34,180.0,0.003306,0.006220841940442907,0.009984,4.4725e-08,0.00011955,3.017e-07
35,35,180.0,0.0027505,0.005175559068433334,0.009981,5.191e-08,0.0001246,3.9125e-07
36,36,180.0,0.002288,0.004305273182670537,0.009977,5.902999999999999e-08,0.00013065,5.168000000000001e-07
37,37,180.0,0.0019035,0.003581761602319954,0.009973,6.571e-08,0.0001379,6.984500000000001e-07
38,38,180.0,0.001584,0.0029805591682359393,0.0099675,7.179e-08,0.00014659999999999999,9.6885e-07
39,39,180.0,0.0013180000000000002,0.0024800279564103924,0.009961000000000001,7.77e-08,0.0001572,1.376e-06
40,40,180.0,0.0010965,0.002063232306238856,0.009953,8.456499999999999e-08,0.00017004999999999999,1.989e-06
41,41,180.0,0.0009127,0.0017173765209001263,0.009943,9.4075e-08,0.00018575,2.894e-06
42,42,180.0,0.00075955,0.0014291946813574088,0.0099305,1.0835e-07,0.00020495,4.1905e-06
43,43,180.0,0.0006322000000000001,0.0011895609359960763,0.0099155,1.298e-07,0.00022835,5.983e-06
44,44,180.0,0.0005262,0.000990101349259169,0.009897,1.6195e-07,0.00025685,8.3685e-06
45,45,180.0,0.00043795,0.0008240416503831356,0.009874,2.0950000000000002e-07,0.00029140000000000004,1.1425e-05
46,46,180.0,0.00036459999999999997,0.0006860193539665089,0.009846500000000001,2.7950000000000003e-07,0.000333,1.5215e-05
47,47,180.0,0.0003035,0.000571047650538035,0.009812999999999999,3.821e-07,0.0003829,1.9745e-05
48,48,180.0,0.00025265,0.0004753634261770347,0.009773500000000001,5.308000000000001e-07,0.00044235,2.498e-05
49,49,180.0,0.00021035,0.00039576781644857535,0.0097275,7.409e-07,0.0005127,3.083e-05
50,50,180.0,0.00017515,0.00032953218827581454,0.0096735,1.0271e-06,0.0005958000000000001,3.7155e-05
51,51,180.0,0.00014585,0.0002743984452769826,0.00961,1.3995e-06,0.0006933499999999999,4.3744999999999995e-05
52,52,180.0,0.00012145,0.00022848516812462246,0.0095375,1.861e-06,0.0008077,5.0350000000000004e-05
53,53,180.0,0.00010116,0.0001903056178611499,0.0094535,2.406e-06,0.0009415,5.6685000000000004e-05
54,54,180.0,8.423e-05,0.00015844863012402774,0.009357,3.0275000000000002e-06,0.001098,6.2425e-05
55,55,180.0,7.0155e-05,0.00013196383527658165,0.009245,3.725e-06,0.001281,6.726e-05
56,56,180.0,5.8429999999999995e-05,0.00010990112339601341,0.0091165,4.5255e-06,0.001496,7.0935e-05
57,57,180.0,4.867e-05,9.15359148864058e-05,0.008966499999999999,5.509e-06,0.001748,7.326e-05
58,58,180.0,4.054e-05,7.623792321558282e-05,0.008792,6.837e-06,0.0020455,7.4195e-05
59,59,180.0,3.3775e-05,6.350841854182704e-05,0.0085865,8.7845e-06,0.0023975,7.365e-05
60,60,180.0,2.8139999999999998e-05,5.2905282238152516e-05,0.0083465,1.168e-05,0.0028135,7.1235e-05
61,61,180.0,2.3445e-05,4.4070981735025254e-05,0.0080665,1.541e-05,0.0033035,6.596e-05
62,62,180.0,1.953e-05,3.670456405159971e-05,0.007744,1.7805e-05,0.003876,5.6754999999999994e-05
63,63,180.0,1.628e-05,3.058975981049368e-05,0.007376,1.3585e-05,0.0045385,4.4585e-05
64,64,180.0,1.3565e-05,2.548218110852645e-05,0.0069605,3.746e-06,0.005280999999999999,3.649e-05
65,65,180.0,1.1305000000000001e-05,2.123138136182143e-05,0.0064925,2.9245e-06,0.006063,4.9485000000000005e-05
66,66,180.0,9.420000000000001e-06,1.768677387940021e-05,0.0059735,4.125e-05,0.006819,0.000101
67,67,180.0,7.851e-06,1.473641723414321e-05,0.005422,0.00018669999999999998,0.0074925,0.0001669
68,68,180.0,6.544e-06,1.227832513361666e-05,0.0048725,0.0004679,0.0080755,0.00020135
69,69,180.0,5.455e-06,1.0230298003835566e-05,0.00435,0.00084885,0.0085795,0.0001968
70,70,180.0,4.547e-06,8.523289334696496e-06,0.003866,0.0012685,0.009013,0.00016965
71,71,180.0,3.7905e-06,7.101932794884131e-06,0.0034255,0.001681,0.0093855,0.0001365
72,72,180.0,3.1605e-06,5.919046523638842e-06,0.0030305,0.0020635,0.009704500000000001,0.000106085
73,73,180.0,2.6345e-06,4.932074539304519e-06,0.0026785,0.002413,0.009977,8.14e-05
74,74,180.0,2.1970000000000003e-06,4.111642344537995e-06,0.002367,0.0027324999999999997,0.010204999999999999,6.237e-05
75,75,180.0,1.832e-06,3.4275242961323606e-06,0.0020930000000000002,0.0030285,0.010405,4.802e-05
76,76,180.0,1.5275e-06,2.8570566753267576e-06,0.0018525,0.00331,0.010565,3.727e-05
77,77,180.0,1.274e-06,2.382317166631919e-06,0.0016405,0.0035830000000000002,0.010700000000000001,2.9185e-05
78,78,180.0,1.0625e-06,1.986365404404886e-06,0.0014550000000000001,0.003856,0.010815,2.3075e-05
79,79,180.0,8.8615e-07,1.6563143506762356e-06,0.001292,0.0041345,0.010915000000000001,1.8425e-05
80,80,180.0,7.392000000000001e-07,1.3813583503488096e-06,0.0011495,0.004424,0.011,1.4850000000000002e-05
81,81,180.0,6.166e-07,1.1520159056114184e-06,0.00102385,0.004729,0.011065,1.208e-05
82,82,180.0,5.144e-07,9.608747934640901e-07,0.00091375,0.0050545,0.011125,9.9235e-06
83,83,180.0,4.2915e-07,8.014650941329486e-07,0.0008166,0.005405,0.011179999999999999,8.228e-06
84,84,180.0,3.581e-07,6.686319868801754e-07,0.00073085,0.005784,0.01123,6.8885e-06
85,85,180.0,2.988e-07,5.577856990522011e-07,0.00065505,0.006195,0.011269999999999999,5.8225e-06
86,86,180.0,2.4935e-07,4.653671481947452e-07,0.0005878999999999999,0.0066415,0.011304999999999999,4.97e-06
87,87,180.0,2.0810000000000002e-07,3.8828673185406146e-07,0.0005282500000000001,0.0071275,0.01134,4.284499999999999e-06
88,88,180.0,1.737e-07,3.240173393774356e-07,0.0004752,0.0076555,0.01137,3.7305e-06
89,89,180.0,1.45e-07,2.7040646071151733e-07,0.00042785,0.0082305,0.0114,3.281e-06
90,90,180.0,1.2105e-07,2.256765445340389e-07,0.00038560000000000005,0.008855499999999999,0.011425,2.9155e-06
91,91,180.0,1.01055e-07,1.8834023170847566e-07,0.00034774999999999997,0.009534,0.011455,2.618e-06
92,92,180.0,8.439e-08,1.5722810447075618e-07,0.0003139,0.010270000000000001,0.01148,2.3745e-06
93,93,180.0,7.0475e-08,1.312553579581429e-07,0.0002835,0.01107,0.011505,2.176e-06
94,94,180.0,5.8865000000000005e-08,1.0958987843673054e-07,0.0002562,0.011935000000000001,0.011525,2.0145e-06
95,95,180.0,4.9169999999999996e-08,9.150218110608611e-08,0.00023165000000000002,0.012875000000000001,0.011545,1.8825000000000002e-06
96,96,180.0,4.1075e-08,7.640333612591881e-08,0.00020955,0.013895000000000001,0.011565,1.7764999999999998e-06
97,97,180.0,3.432e-08,6.380739512173842e-08,0.0001896,0.014995000000000001,0.011585,1.691e-06
98,98,180.0,2.8674999999999997e-08,5.3284236982118514e-08,0.00017165,0.01619,0.011605,1.623e-06
99,99,180.0,2.3965e-08,4.450694603922166e-08,0.00015545,0.017474999999999997,0.011625,1.5695e-06
