,altitude_km,T,P,rho,CO2,O,CO,O2
0,0,288.0,1.0,0.0,0.85,0.0,1.5e-05,1e-06
1,1,282.05,0.88905,1.577187987039218,0.85,2.954e-13,9.383500000000001e-05,2.03055e-07
2,2,274.1,0.7884,1.4391991392165489,0.85,1.07825e-13,9.38e-05,1.85802e-10
3,3,266.2,0.69665,1.3094529571569113,0.85,4.6645e-15,9.3815e-05,2.896e-13
4,4,258.3,0.6132500000000001,1.1879453479581654,0.85,1.4775e-14,9.385e-05,6.77e-13
5,5,250.35000000000002,0.53775,1.0747714806210813,0.85,5.405e-14,9.387999999999999e-05,1.4015e-12
6,6,242.4,0.46950000000000003,0.9691394927335679,0.85,1.52e-13,9.392499999999999e-05,2.0939999999999998e-12
7,7,234.5,0.4081,0.8707772180726275,0.85,3.6275e-13,9.397e-05,2.12e-12
8,8,226.6,0.35305,0.7795780827594098,0.85,7.504e-13,9.402e-05,2.0415e-12
9,9,218.64999999999998,0.3039,0.6954477859946068,0.85,1.3745e-12,9.4075e-05,2.3565e-12
10,10,210.7,0.2601,0.6176737244469374,0.85,2.324e-12,9.413499999999999e-05,3.7815e-12
11,11,202.8,0.2213,0.5460051935904333,0.85,3.7985e-12,9.420500000000001e-05,8.207e-12
12,12,194.9,0.1871,0.4803361345872938,0.85,6.2675e-12,9.428e-05,2.684e-11
13,13,186.95,0.15710000000000002,0.4204690426372053,0.85,1.0871e-11,9.4365e-05,1.0315e-10
14,14,180.5,0.13105,0.3632813724275877,0.85,1.9135e-11,9.446e-05,3.1839999999999996e-10
15,15,180.0,0.10885,0.30257931751128386,0.85,3.14e-11,9.457e-05,7.065e-10
16,16,180.0,0.090475,0.2515008154905721,0.85,4.928e-11,9.4705e-05,1.393e-09
17,17,180.0,0.075185,0.20899794230029692,0.85,7.4485e-11,9.4865e-05,2.5685e-09
18,18,180.0,0.062485,0.17369470564806466,0.85,1.08575e-10,9.506e-05,4.524e-09
19,19,180.0,0.051930000000000004,0.14435410238318483,0.85,1.5225000000000002e-10,9.528999999999999e-05,7.871e-09
20,20,180.0,0.043164999999999995,0.11998930982404087,0.85,2.012e-10,9.557e-05,1.4105e-08
21,21,180.0,0.035875000000000004,0.09972469668153479,0.85,2.3855e-10,9.591e-05,2.69e-08
22,22,180.0,0.029824999999999997,0.08290701441755331,0.85,2.4324999999999996e-10,9.633999999999999e-05,5.4745e-08
23,23,180.0,0.024795,0.06892471137259665,0.85,2.316e-10,9.689e-05,1.14315e-07
24,24,180.0,0.02061,0.057291326046797736,0.85,2.3205e-10,9.763e-05,2.314e-07
25,25,180.0,0.017140000000000002,0.0476454869465136,0.85,2.5190000000000003e-10,9.8625e-05,4.3995e-07
26,26,180.0,0.014245,0.039598024503701375,0.85,2.9325e-10,9.999e-05,7.8175e-07
27,27,180.0,0.011845,0.032925289574713454,0.8499,3.6089999999999996e-10,0.00010180000000000001,1.3075e-06
28,28,180.0,0.009854,0.02739096626331729,0.8499,4.634e-10,0.00010415,2.0765e-06
29,29,180.0,0.0081925,0.022772547008814963,0.8499,6.139999999999999e-10,0.00010725,3.1604999999999996e-06
30,30,180.0,0.0068135,0.018939386754240933,0.8499,8.318e-10,0.00011125,4.643e-06
31,31,180.0,0.0056665,0.015751111560788518,0.8499,1.1445e-09,0.00011635000000000001,6.624500000000001e-06
32,32,180.0,0.004713,0.01310045168358212,0.84985,1.5915000000000001e-09,0.00012285,9.222e-06
33,33,180.0,0.0039204999999999995,0.010897404104474876,0.8498,2.23e-09,0.00013095,1.2575e-05
34,34,180.0,0.003261,0.009064290758013654,0.8498,3.1405e-09,0.000141,1.6859999999999998e-05
35,35,180.0,0.002713,0.007540808732784665,0.8497,4.437e-09,0.0001535,2.2270000000000002e-05
36,36,180.0,0.002257,0.006273385233618743,0.8497,6.283000000000001e-09,0.00016885,2.9055e-05
37,37,180.0,0.001878,0.005219778793354706,0.8496,8.907e-09,0.0001877,3.749e-05
38,38,180.0,0.0015625,0.00434273489583751,0.8495,1.263e-08,0.00021075,4.793e-05
39,39,180.0,0.0013,0.0036131216534867555,0.84945,1.79e-08,0.0002388,6.078e-05
40,40,180.0,0.0010815,0.003005702234207519,0.8493,2.5335e-08,0.00027289999999999997,7.652e-05
41,41,180.0,0.0009002999999999999,0.0025020042052499923,0.84915,3.578e-08,0.00031424999999999997,9.572500000000001e-05
42,42,180.0,0.0007492499999999999,0.0020821016550730065,0.84895,5.0394999999999996e-08,0.0003642,0.0001191
43,43,180.0,0.0006236,0.0017328354360169602,0.84875,7.0745e-08,0.0004244,0.0001474
44,44,180.0,0.0005189999999999999,0.0014420761878275678,0.8485,9.896e-08,0.00049695,0.00018155
45,45,180.0,0.000432,0.0012002403563512148,0.8482000000000001,1.3795e-07,0.000584,0.00022275
46,46,180.0,0.00035959999999999996,0.000998973185355304,0.8478,1.915e-07,0.0006883,0.0002722
47,47,180.0,0.0002994,0.0008316466606279049,0.8474,2.651e-07,0.0008129999999999999,0.00033135
48,48,180.0,0.0002492,0.0006920967131780826,0.84685,3.6589999999999996e-07,0.0009616500000000001,0.00040209999999999996
49,49,180.0,0.0002075,0.0005761886316028186,0.84625,5.0375e-07,0.0011389999999999998,0.00048635
50,50,180.0,0.0001728,0.00047973164910310314,0.8455,6.9215e-07,0.0013495,0.0005865
51,51,180.0,0.00014385,0.0003992657103109694,0.84465,9.494e-07,0.0015990000000000002,0.0007052499999999999
52,52,180.0,0.00011980000000000001,0.0003324019061023175,0.8434999999999999,1.301e-06,0.001894,0.0008457
53,53,180.0,9.975e-05,0.00027667233168571085,0.8422499999999999,1.781e-06,0.0022425,0.00101125
54,54,180.0,8.3085e-05,0.00023035072945505372,0.84075,2.4365000000000003e-06,0.002652,0.0012065
55,55,180.0,6.92e-05,0.00019175186274001017,0.8389,3.333e-06,0.003134,0.001435
56,56,180.0,5.7635e-05,0.0001596090404314289,0.8368,4.559e-06,0.0036985,0.001703
57,57,180.0,4.8009999999999996e-05,0.00013285296311038678,0.8342,6.237e-06,0.004358,0.0020150000000000003
58,58,180.0,3.9995e-05,0.00011057659558121376,0.8311999999999999,8.533000000000001e-06,0.005126,0.002378
59,59,180.0,3.332e-05,9.202523030139257e-05,0.82765,1.1665000000000001e-05,0.006019,0.0027984999999999998
60,60,180.0,2.7755e-05,7.655958814631278e-05,0.82345,1.588e-05,0.0070525,0.0032845
61,61,180.0,2.3125e-05,6.369331776471413e-05,0.8185,2.1445000000000002e-05,0.008246,0.0038434999999999997
62,62,180.0,1.9269999999999997e-05,5.298227837057972e-05,0.8127,2.8515e-05,0.00962,0.004484500000000001
63,63,180.0,1.6055e-05,4.405020788560796e-05,0.80585,3.6955e-05,0.0112,0.0052175
64,64,180.0,1.338e-05,3.662161625723678e-05,0.7979499999999999,4.612e-05,0.013000000000000001,0.006054
65,65,180.0,1.115e-05,3.0430352204781763e-05,0.7887,5.4825000000000004e-05,0.01506,0.0070055
66,66,180.0,9.291999999999998e-06,2.5275130405719935e-05,0.77805,6.183e-05,0.017405,0.008085
67,67,180.0,7.7445e-06,2.0983739206519132e-05,0.7657,6.79e-05,0.02008,0.009308
68,68,180.0,6.4545e-06,1.7409836644354903e-05,0.7515499999999999,8.185000000000001e-05,0.02312,0.01069
69,69,180.0,5.3805e-06,1.4437538377034725e-05,0.7354,0.00014,0.026584999999999998,0.012235
70,70,180.0,4.485e-06,1.1962277804105524e-05,0.71715,0.00035329999999999997,0.030510000000000002,0.013895
71,71,180.0,3.739e-06,9.902023441704757e-06,0.6966,0.00093515,0.034890000000000004,0.015565
72,72,180.0,3.1175000000000002e-06,8.187353852604712e-06,0.6738500000000001,0.0021425,0.039709999999999995,0.017079999999999998
73,73,180.0,2.599e-06,6.758913009381767e-06,0.6489,0.004214,0.044954999999999995,0.018325
74,74,180.0,2.1669999999999998e-06,5.571296877956861e-06,0.6218,0.0073405,0.050605,0.0192
75,75,180.0,1.807e-06,4.5850336848154386e-06,0.5927,0.011655,0.05666,0.019655
76,76,180.0,1.5064999999999999e-06,3.7661976532221423e-06,0.5619000000000001,0.01724,0.063095,0.019655
77,77,180.0,1.257e-06,3.091100180418571e-06,0.5297000000000001,0.024125,0.06989000000000001,0.01923
78,78,180.0,1.0485e-06,2.532290185229733e-06,0.49635,0.0323,0.077005,0.018415
79,79,180.0,8.741e-07,2.0706062934006898e-06,0.46235,0.041694999999999996,0.084375,0.01728
80,80,180.0,7.290999999999999e-07,1.692144186779996e-06,0.42815,0.05222,0.091895,0.01589
81,81,180.0,6.082500000000001e-07,1.3819856847887099e-06,0.39425,0.06373000000000001,0.09942000000000001,0.014335
82,82,180.0,5.074e-07,1.128138727180392e-06,0.3612,0.07605999999999999,0.10669999999999999,0.012709999999999999
83,83,180.0,4.2335e-07,9.21034344211905e-07,0.32945,0.089,0.11365,0.01109
84,84,180.0,3.5319999999999996e-07,7.521372900328761e-07,0.29945,0.1024,0.12,0.0095595
85,85,180.0,2.9475e-07,6.147434195333172e-07,0.27144999999999997,0.11605,0.1257,0.008171
86,86,180.0,2.4595e-07,5.027676070617165e-07,0.2456,0.13005,0.13065,0.006958
87,87,180.0,2.0525000000000001e-07,4.115607847539626e-07,0.22185,0.14429999999999998,0.13495000000000001,0.005929500000000001
88,88,180.0,1.7135e-07,3.3732807467992406e-07,0.20035,0.15889999999999999,0.1385,0.005076000000000001
89,89,180.0,1.4305e-07,2.766935630128565e-07,0.18085,0.17395,0.14145000000000002,0.0043795
90,90,180.0,1.194e-07,2.270517395557694e-07,0.1633,0.18975,0.1439,0.003816
91,91,180.0,9.97e-08,1.8647713399085876e-07,0.14745,0.20635,0.14595,0.003364
92,92,180.0,8.324e-08,1.5319003415924947e-07,0.13319999999999999,0.22385,0.14755000000000001,0.0030025
93,93,180.0,6.9515e-08,1.2589106485178945e-07,0.12035,0.24255,0.1489,0.0027140000000000003
94,94,180.0,5.806e-08,1.0346654205757357e-07,0.10875,0.26255,0.15005,0.0024850000000000002
95,95,180.0,4.8500000000000004e-08,8.503967417742497e-08,0.09834999999999999,0.28395,0.151,0.0023035
96,96,180.0,4.052e-08,6.988055394648918e-08,0.08898500000000001,0.307,0.1518,0.0021605
97,97,180.0,3.385e-08,5.7390447919172474e-08,0.080535,0.3318,0.15245,0.0020485
98,98,180.0,2.829e-08,4.712109978349771e-08,0.07291,0.35855000000000004,0.15305000000000002,0.001961
99,99,180.0,2.364e-08,3.865261634191324e-08,0.06603,0.38734999999999997,0.15360000000000001,0.0018935
