,altitude_km,T,P,rho,CO2,O,CO,O2
0,0,288.0,1.0,0.0,0.2,0.0,1.5e-05,1e-06
1,1,282.05,0.8985000000000001,1.1954652261500875,0.2,6.894000000000001e-14,1.5929999999999998e-06,8.903500000000001e-07
2,2,274.1,0.7968,1.0909006449429741,0.2,1.0207e-13,1.5860000000000001e-06,7.515999999999999e-07
3,3,266.2,0.704,0.9924518836143527,0.2,1.6424999999999998e-13,1.5745e-06,6.252e-07
4,4,258.3,0.61975,0.9004029974688367,0.2,2.8135e-13,1.5585e-06,5.141e-07
5,5,250.35000000000002,0.54345,0.8146231698443597,0.2,4.91e-13,1.54e-06,4.2005e-07
6,6,242.4,0.47445000000000004,0.7345182021290286,0.2,8.2185e-13,1.521e-06,3.4395e-07
7,7,234.5,0.41245,0.6600444172188519,0.2,1.257e-12,1.5045e-06,2.8585e-07
8,8,226.6,0.3568,0.5908940583572714,0.2,1.753e-12,1.493e-06,2.447e-07
9,9,218.64999999999998,0.3071,0.5270781417007773,0.2,2.306e-12,1.489e-06,2.1885e-07
10,10,210.7,0.2629,0.46824237754471637,0.2,2.9645e-12,1.4955e-06,2.064e-07
11,11,202.8,0.2237,0.4139450549559586,0.2,3.8045e-12,1.513e-06,2.055e-07
12,12,194.9,0.1891,0.36410308539354685,0.2,4.9015000000000005e-12,1.5445e-06,2.1455e-07
13,13,186.95,0.1588,0.31876432153551115,0.2,6.3365e-12,1.589e-06,2.3245e-07
14,14,180.5,0.13240000000000002,0.2752678355341521,0.2,8.2785e-12,1.648e-06,2.5875e-07
15,15,180.0,0.10999999999999999,0.22933211956707406,0.2,1.123e-11,1.7254999999999998e-06,2.9425e-07
16,16,180.0,0.09143499999999999,0.19062712132894843,0.2,1.5935e-11,1.8245e-06,3.4044999999999995e-07
17,17,180.0,0.075985,0.158416390662776,0.2,2.4155e-11,1.947e-06,3.9875e-07
18,18,180.0,0.06315,0.13165750889197575,0.2,3.9225e-11,2.0985e-06,4.7115e-07
19,19,180.0,0.052485000000000004,0.10942272341198189,0.2,6.705500000000001e-11,2.2835000000000002e-06,5.5995e-07
20,20,180.0,0.043625,0.09095106865770464,0.2,1.1674999999999998e-10,2.5075e-06,6.6815e-07
21,21,180.0,0.036254999999999996,0.07558582091977342,0.2,2.0065e-10,2.778e-06,7.992999999999999e-07
22,22,180.0,0.03014,0.06283704351494565,0.2,3.3415000000000003e-10,3.1035e-06,9.5775e-07
23,23,180.0,0.025055,0.052235648134429546,0.2,5.38e-10,3.495e-06,1.1495000000000002e-06
24,24,180.0,0.02083,0.04342721242010155,0.2,8.410000000000001e-10,3.965e-06,1.3795e-06
25,25,180.0,0.017320000000000002,0.03610943504112565,0.2,1.2840000000000001e-09,4.5275e-06,1.6555e-06
26,26,180.0,0.0144,0.030021711404322346,0.2,1.9215e-09,5.1995e-06,1.9875e-06
27,27,180.0,0.011975,0.024965981928660178,0.2,2.831e-09,6.0015e-06,2.383e-06
28,28,180.0,0.009958999999999999,0.020762950680329753,0.2,4.1195e-09,6.957e-06,2.8555e-06
29,29,180.0,0.0082795,0.01726146692705092,0.2,5.9325e-09,8.092500000000001e-06,3.4175e-06
30,30,180.0,0.006886,0.014356246446908331,0.2,8.477e-09,9.438999999999999e-06,4.0845e-06
31,31,180.0,0.0057265,0.01193887769059918,0.2,1.2035e-08,1.1030000000000001e-05,4.8745000000000005e-06
32,32,180.0,0.004763,0.009930136868251796,0.2,1.6995e-08,1.291e-05,5.808e-06
33,33,180.0,0.003962,0.00826018193459295,0.2,2.3900000000000002e-08,1.5129999999999999e-05,6.908000000000001e-06
34,34,180.0,0.0032955,0.00687063744345006,0.2,3.3459999999999997e-08,1.7735e-05,8.2005e-06
35,35,180.0,0.0027419999999999996,0.005716679443347629,0.2,4.6635e-08,2.0795e-05,9.7185e-06
36,36,180.0,0.002281,0.004755568713295278,0.2,6.466e-08,2.437e-05,1.149e-05
37,37,180.0,0.001898,0.003957075184642363,0.2,8.899500000000001e-08,2.855e-05,1.3559999999999999e-05
38,38,180.0,0.001579,0.003292011108085091,0.2,1.2125e-07,3.3425e-05,1.5969999999999998e-05
39,39,180.0,0.001314,0.002739528192435651,0.2,1.6275e-07,3.91e-05,1.8784999999999997e-05
40,40,180.0,0.001093,0.0022786611345452785,0.1999,2.1425e-07,4.5705e-05,2.205e-05
41,41,180.0,0.00090985,0.0018968415771551087,0.1999,2.7535e-07,5.337e-05,2.584e-05
42,42,180.0,0.0007572,0.0015786062303007299,0.1999,3.4430000000000003e-07,6.226e-05,3.0235e-05
43,43,180.0,0.0006302,0.0013138441983045893,0.1999,4.184e-07,7.258e-05,3.534e-05
44,44,180.0,0.0005245499999999999,0.001093591148929316,0.1999,4.95e-07,8.454e-05,4.1265e-05
45,45,180.0,0.0004366,0.0009102378186140966,0.1999,5.746e-07,9.839e-05,4.8139999999999996e-05
46,46,180.0,0.00036345,0.0007577190717231057,0.19985,6.667e-07,0.00011449999999999999,5.6115e-05
47,47,180.0,0.00030255,0.0006307447693981478,0.1998,8.014000000000001e-07,0.00013319999999999999,6.535e-05
48,48,180.0,0.0002519,0.0005251572742344252,0.1998,1.05285e-06,0.00015485,7.6035e-05
49,49,180.0,0.0002097,0.000437173570863363,0.19974999999999998,1.579e-06,0.00018005,8.832499999999999e-05
50,50,180.0,0.00017460000000000002,0.0003639943480168391,0.1997,2.677e-06,0.00020935,0.00010236
51,51,180.0,0.00014535,0.0003030205705082993,0.1997,4.826e-06,0.0002432,0.00011815
52,52,180.0,0.00012104999999999999,0.0002523520090304306,0.1996,8.703000000000001e-06,0.00028240000000000003,0.0001357
53,53,180.0,0.00010081,0.00021015608358394142,0.19955,1.518e-05,0.00032760000000000005,0.000155
54,54,180.0,8.3965e-05,0.00017503382669822653,0.19945000000000002,2.5314999999999997e-05,0.00037975,0.0001759
55,55,180.0,6.9935e-05,0.00014578185147116643,0.19935,4.0385e-05,0.00043985,0.0001983
56,56,180.0,5.825e-05,0.000121419797055168,0.19924999999999998,6.189e-05,0.0005091,0.00022199999999999998
57,57,180.0,4.8515e-05,0.0001011238141703285,0.19915,9.159e-05,0.0005889000000000001,0.00024684999999999996
58,58,180.0,4.0415e-05,8.423477281767033e-05,0.199,0.00013145,0.00068085,0.00027265000000000004
59,59,180.0,3.3669999999999994e-05,7.017163548058161e-05,0.19885,0.00018385,0.0007868,0.0002992
60,60,180.0,2.8049999999999997e-05,5.8453096828642446e-05,0.19865,0.0002513,0.0009089,0.00032615
61,61,180.0,2.3375e-05,4.870441534526769e-05,0.19840000000000002,0.00033695000000000003,0.0010495,0.00035325000000000005
62,62,180.0,1.9475e-05,4.057153150709646e-05,0.1981,0.0004441,0.0012115,0.00038015
63,63,180.0,1.623e-05,3.380532766137439e-05,0.19779999999999998,0.00057665,0.0013974999999999999,0.00040645000000000004
64,64,180.0,1.3525e-05,2.8164293635233743e-05,0.19740000000000002,0.0007390999999999999,0.0016115,0.0004318
65,65,180.0,1.1265000000000001e-05,2.3452077872263656e-05,0.197,0.0009362999999999999,0.0018585,0.00045585
66,66,180.0,9.390500000000001e-06,1.9542779809050334e-05,0.19645,0.0011740000000000001,0.002142,0.00047815
67,67,180.0,7.8265e-06,1.6281436382928398e-05,0.19585000000000002,0.0014585000000000002,0.0024685,0.00049835
68,68,180.0,6.5234999999999995e-06,1.3564754186592893e-05,0.19519999999999998,0.001797,0.0028435,0.0005161
69,69,180.0,5.4375e-06,1.1300045420375272e-05,0.19435,0.0021975,0.0032754999999999998,0.0005309
70,70,180.0,4.5330000000000005e-06,9.41413810752947e-06,0.19340000000000002,0.0026685,0.0037705,0.0005425499999999999
71,71,180.0,3.7785000000000003e-06,7.841138796648225e-06,0.1923,0.003221,0.004339,0.00055055
72,72,180.0,3.1500000000000003e-06,6.53072956458985e-06,0.19095,0.003866,0.004991000000000001,0.00055485
73,73,180.0,2.6265e-06,5.439735353580306e-06,0.1895,0.0046155,0.005737000000000001,0.0005550500000000001
74,74,180.0,2.19e-06,4.529948005773395e-06,0.1877,0.005481,0.006587,0.00055095
75,75,180.0,1.826e-06,3.7715344511800707e-06,0.18564999999999998,0.0064755,0.007552,0.00054265
76,76,180.0,1.523e-06,3.1405299676583007e-06,0.18335,0.007608,0.008638,0.0005300000000000001
77,77,180.0,1.2700000000000001e-06,2.6138814938657686e-06,0.1807,0.008885500000000001,0.009850000000000001,0.00051305
78,78,180.0,1.059e-06,2.1749558182984524e-06,0.1777,0.010307,0.011175000000000001,0.0004922500000000001
79,79,180.0,8.834000000000001e-07,1.8099474538155188e-06,0.1743,0.011869999999999999,0.012615,0.00046805
80,80,180.0,7.3685e-07,1.505654706668805e-06,0.1705,0.01356,0.01415,0.00044094999999999996
81,81,180.0,6.1465e-07,1.252300326873012e-06,0.16635,0.015365,0.015745000000000002,0.0004119
82,82,180.0,5.128e-07,1.0414801192312833e-06,0.1618,0.017265,0.01738,0.0003817
83,83,180.0,4.2784999999999996e-07,8.66002661850159e-07,0.15689999999999998,0.01924,0.019015,0.00035135
84,84,180.0,3.5695000000000003e-07,7.198866429342742e-07,0.15165,0.021275000000000002,0.02062,0.0003216
85,85,180.0,2.9785e-07,5.984131712426162e-07,0.1461,0.023355,0.022170000000000002,0.00029315
86,86,180.0,2.4855e-07,4.973728449603079e-07,0.14024999999999999,0.025474999999999998,0.023635,0.0002665
87,87,180.0,2.0745000000000002e-07,4.1340629124368544e-07,0.13415,0.027625,0.025,0.00024205
88,88,180.0,1.7314999999999999e-07,3.435633849143345e-07,0.1278,0.029830000000000002,0.026245,0.00021989999999999998
89,89,180.0,1.4455e-07,2.8554994967257374e-07,0.12135,0.032095,0.02737,0.00020015
90,90,180.0,1.2065e-07,2.3726762049822256e-07,0.11485000000000001,0.034435,0.02837,0.00018285
91,91,180.0,1.00755e-07,1.9722042178734665e-07,0.10815,0.036875,0.029245,0.0001677
92,92,180.0,8.4125e-08,1.639001441076631e-07,0.101565,0.03945,0.030010000000000002,0.0001548
93,93,180.0,7.0255e-08,1.3623166147462113e-07,0.09503500000000001,0.042175000000000004,0.030675,0.00014375
94,94,180.0,5.8679999999999993e-08,1.1324481189319219e-07,0.088605,0.04509,0.03124,0.00013440000000000001
95,95,180.0,4.9015e-08,9.414125394862751e-08,0.08235500000000001,0.04822,0.031725,0.00012665000000000002
96,96,180.0,4.095e-08,7.827550962232379e-08,0.07632,0.051595,0.032145,0.00012025
97,97,180.0,3.4215e-08,6.508916081308636e-08,0.07053000000000001,0.05525,0.0325,0.000115
98,98,180.0,2.8585e-08,5.4119778106005935e-08,0.06503,0.05921,0.03281,0.00011085
99,99,180.0,2.3889999999999998e-08,4.501550179082136e-08,0.059829999999999994,0.063505,0.033075,0.0001075
