,altitude_km,T,P,rho,CO2,O,CO,O2
0,0,288.0,1.0,0.0,0.7,0.0,1.5e-05,1e-06
1,1,282.05,0.8912,1.4897913185877216,0.7,7.5425e-14,1.5769999999999999e-06,8.986e-07
2,2,274.1,0.7903,1.3594375615518648,0.7,1.11335e-13,1.5709999999999999e-06,7.6765e-07
3,3,266.2,0.6982999999999999,1.2368307290708058,0.7,1.764e-13,1.5615e-06,6.459499999999999e-07
4,4,258.3,0.6147,1.1220573226224333,0.7,2.9765e-13,1.5485e-06,5.374e-07
5,5,250.35000000000002,0.539,1.0151199755317333,0.7,5.139e-13,1.533e-06,4.4455e-07
6,6,242.4,0.4706,0.9153674921037549,0.7,8.538000000000001e-13,1.517e-06,3.691e-07
7,7,234.5,0.4091,0.822550914960206,0.7,1.2969999999999998e-12,1.5035e-06,3.1165e-07
8,8,226.6,0.3539,0.7363712095508258,0.7,1.796e-12,1.4960000000000002e-06,2.7154999999999997e-07
9,9,218.64999999999998,0.3046,0.6568354014880932,0.7,2.344e-12,1.4965e-06,2.4755e-07
10,10,210.7,0.26075000000000004,0.5834933524910806,0.7,2.9894999999999997e-12,1.5085e-06,2.3784999999999998e-07
11,11,202.8,0.22185,0.5157837015676526,0.7,3.8065e-12,1.534e-06,2.4075e-07
12,12,194.9,0.1876,0.45383410779323613,0.7,4.8635e-12,1.574e-06,2.5469999999999997e-07
13,13,186.95,0.1575,0.3972201163755746,0.7,6.227e-12,1.63e-06,2.7875e-07
14,14,180.5,0.13135,0.34310656549728447,0.7,8.016999999999999e-12,1.703e-06,3.126e-07
15,15,180.0,0.10915,0.285908724795718,0.7,1.05665e-11,1.7975000000000002e-06,3.574e-07
16,16,180.0,0.090695,0.23756750359831677,0.7,1.4155e-11,1.9175e-06,4.1515e-07
17,17,180.0,0.075365,0.19741194078792085,0.7,1.9380000000000002e-11,2.0675e-06,4.8775e-07
18,18,180.0,0.062635,0.16406684558003684,0.7,2.7185e-11,2.251e-06,5.775e-07
19,19,180.0,0.052055000000000004,0.13635348310427162,0.7,3.927e-11,2.476e-06,6.876e-07
20,20,180.0,0.04327,0.11334196252107771,0.7,5.8855e-11,2.7485e-06,8.2155e-07
21,21,180.0,0.03596,0.09419407241844144,0.7,9.2e-11,3.0785000000000003e-06,9.8425e-07
22,22,180.0,0.029900000000000003,0.07832044542854057,0.7,1.494e-10,3.477e-06,1.181e-06
23,23,180.0,0.024855,0.06510551998945044,0.7,2.493e-10,3.957500000000001e-06,1.418e-06
24,24,180.0,0.020659999999999998,0.05411709344177254,0.7,4.204e-10,4.5365e-06,1.7045e-06
25,25,180.0,0.01718,0.04500154535772297,0.7,7.0685e-10,5.2324999999999995e-06,2.0495e-06
26,26,180.0,0.014280000000000001,0.03740525525731892,0.7,1.1735000000000001e-09,6.0699999999999995e-06,2.4645e-06
27,27,180.0,0.011875,0.031105573295209465,0.7,1.9125e-09,7.0745e-06,2.9625e-06
28,28,180.0,0.009875,0.025866752516287974,0.7,3.0485e-09,8.28e-06,3.5605e-06
29,29,180.0,0.008212500000000001,0.02151198271046106,0.7,4.753e-09,9.724e-06,4.2775e-06
30,30,180.0,0.0068295000000000005,0.01788933801760402,0.7,7.2549999999999995e-09,1.1445e-05,5.133499999999999e-06
31,31,180.0,0.0056805,0.014879635293246063,0.7,1.08675e-08,1.35e-05,6.1549999999999995e-06
32,32,180.0,0.0047244999999999995,0.012375478670076852,0.7,1.602e-08,1.5944999999999997e-05,7.3705e-06
33,33,180.0,0.00393,0.010294356722533078,0.7,2.33e-08,1.8845e-05,8.813e-06
34,34,180.0,0.003269,0.008562925932284625,0.7,3.3505e-08,2.228e-05,1.0520000000000001e-05
35,35,180.0,0.002719,0.0071222495581604265,0.7,4.7735e-08,2.633e-05,1.2535000000000001e-05
36,36,180.0,0.002262,0.0059250573448155,0.69995,6.7445e-08,3.1115e-05,1.4915e-05
37,37,180.0,0.0018825,0.004930909871827992,0.6999,9.452500000000001e-08,3.6740000000000004e-05,1.7705e-05
38,38,180.0,0.0015660000000000001,0.004101899308842435,0.6999,1.311e-07,4.3335000000000004e-05,2.0985e-05
39,39,180.0,0.001303,0.0034130213482707608,0.6999,1.794e-07,5.1065e-05,2.4815e-05
40,40,180.0,0.0010845,0.0028407023053839907,0.6999,2.4125e-07,6.0095e-05,2.929e-05
41,41,180.0,0.0009024,0.0023637258135314255,0.6999,3.179e-07,7.062999999999999e-05,3.452e-05
42,42,180.0,0.00075105,0.001967292827410795,0.6999,4.1095e-07,8.292e-05,4.061e-05
43,43,180.0,0.00062505,0.0016371922778594238,0.6998,5.2525e-07,9.7235e-05,4.7694999999999997e-05
44,44,180.0,0.0005202500000000001,0.0013626989411669877,0.6998,6.746e-07,0.0001139,5.5935e-05
45,45,180.0,0.00043305000000000004,0.0011343033927472097,0.6998,8.931e-07,0.00013325,6.549e-05
46,46,180.0,0.00036050000000000003,0.0009442404593542351,0.6997,1.252e-06,0.00015575000000000002,7.6555e-05
47,47,180.0,0.0003001,0.000786045646092254,0.6997,1.8834999999999998e-06,0.0001819,8.93e-05
48,48,180.0,0.00024985000000000003,0.0006544077355593979,0.6996,3.0075e-06,0.00021224999999999998,0.0001039
49,49,180.0,0.00020800000000000001,0.000544790051274156,0.69955,4.957e-06,0.00024745,0.0001205
50,50,180.0,0.0001732,0.00045363042488910275,0.69945,8.194e-06,0.0002881,0.00013915
51,51,180.0,0.0001442,0.0003776665877641462,0.69935,1.333e-05,0.00033515,0.0001601
52,52,180.0,0.00012009999999999999,0.00031453991919907516,0.69925,2.1135e-05,0.00038945,0.0001833
53,53,180.0,0.000100015,0.0002619208062977842,0.69905,3.2579999999999996e-05,0.0004521,0.0002089
54,54,180.0,8.3285e-05,0.00021810300535549812,0.69895,4.8845e-05,0.00052435,0.0002368
55,55,180.0,6.9365e-05,0.0001816383379053738,0.69875,7.1375e-05,0.0006076,0.00026705
56,56,180.0,5.7774999999999995e-05,0.0001512760766433793,0.6985,0.000101905,0.0007034000000000001,0.00029965
57,57,180.0,4.8125000000000004e-05,0.00012599799094733117,0.69825,0.00014245000000000002,0.00081365,0.00033434999999999997
58,58,180.0,4.0090000000000004e-05,0.00010494768140205277,0.6979,0.00019555,0.00094045,0.00037115
59,59,180.0,3.3395e-05,8.740814021309439e-05,0.6975,0.00026395,0.001086,0.00040975
60,60,180.0,2.782e-05,7.280467305054393e-05,0.6971,0.000351,0.001254,0.00044990000000000004
61,61,180.0,2.3179999999999998e-05,6.064821755058402e-05,0.69655,0.0004607,0.0014464999999999999,0.0004912499999999999
62,62,180.0,1.9310000000000003e-05,5.050998062852486e-05,0.6959500000000001,0.00059745,0.0016684999999999998,0.00053355
63,63,180.0,1.6095e-05,4.208675045405341e-05,0.6952,0.00076645,0.0019234999999999999,0.0005762
64,64,180.0,1.3409999999999999e-05,3.505256434447919e-05,0.69435,0.0009738,0.0022165,0.0006189500000000001
65,65,180.0,1.118e-05,2.921033828669179e-05,0.69335,0.001226,0.0025535,0.0006613
66,66,180.0,9.314e-06,2.4321582003955846e-05,0.69215,0.0015305,0.002941,0.0007027
67,67,180.0,7.763e-06,2.025782000684254e-05,0.6907000000000001,0.0018960000000000001,0.0033864999999999998,0.00074265
68,68,180.0,6.4705e-06,1.6871844401785478e-05,0.6890499999999999,0.002332,0.0038980000000000004,0.0007806
69,69,180.0,5.3935e-06,1.4050202723130997e-05,0.6870499999999999,0.0028495,0.004486,0.0008160999999999999
70,70,180.0,4.4954999999999996e-06,1.1697944543541014e-05,0.68475,0.0034605,0.0051595,0.0008485
71,71,180.0,3.7479999999999995e-06,9.740094187795685e-06,0.68205,0.004179,0.0059315,0.00087745
72,72,180.0,3.1249999999999997e-06,8.108445510250447e-06,0.67885,0.0050195,0.006816,0.0009024
73,73,180.0,2.6055e-06,6.747977158527784e-06,0.67505,0.006,0.007827,0.0009228000000000001
74,74,180.0,2.1725e-06,5.614418641314515e-06,0.67065,0.0071395,0.008982,0.0009383
75,75,180.0,1.8110000000000001e-06,4.6683405982145254e-06,0.6655,0.0084595,0.010298999999999999,0.00094845
76,76,180.0,1.5105e-06,3.88220027239195e-06,0.6595,0.009982999999999999,0.011800000000000001,0.0009529
77,77,180.0,1.2595e-06,3.2258899901638465e-06,0.6525,0.01174,0.013500000000000002,0.00095145
78,78,180.0,1.0505e-06,2.67983367083634e-06,0.64445,0.013755,0.01542,0.0009438000000000001
79,79,180.0,8.762e-07,2.224792153668511e-06,0.6351,0.016055,0.017595,0.00092995
80,80,180.0,7.309000000000001e-07,1.8459662990885525e-06,0.62445,0.018674999999999997,0.02003,0.0009098999999999999
81,81,180.0,6.097000000000001e-07,1.5304264942025505e-06,0.61225,0.02164,0.02274,0.00088385
82,82,180.0,5.086e-07,1.2678121368187528e-06,0.5985499999999999,0.024965,0.02572,0.0008521
83,83,180.0,4.243e-07,1.0493968193729453e-06,0.5831500000000001,0.028659999999999998,0.02896,0.0008153
84,84,180.0,3.5405e-07,8.67999230633737e-07,0.5660499999999999,0.032705,0.03241,0.0007743
85,85,180.0,2.9545e-07,7.173770648678267e-07,0.5474,0.037085,0.036015,0.0007301499999999999
86,86,180.0,2.4655e-07,5.923594365487932e-07,0.52715,0.04175,0.039705000000000004,0.00068415
87,87,180.0,2.058e-07,4.888678913639644e-07,0.5055499999999999,0.046675,0.04337,0.00063765
88,88,180.0,1.7175e-07,4.030922324192126e-07,0.48285,0.051805000000000004,0.046945,0.0005920999999999999
89,89,180.0,1.4335e-07,3.3218223114692755e-07,0.45915,0.057115,0.050339999999999996,0.00054855
90,90,180.0,1.197e-07,2.7371953500120273e-07,0.43474999999999997,0.062595,0.053495,0.000508
91,91,180.0,9.9915e-08,2.253720694507257e-07,0.41000000000000003,0.06825,0.056375,0.00047105
92,92,180.0,8.344e-08,1.8559627913719834e-07,0.38515,0.0741,0.058945,0.00043805
93,93,180.0,6.9685e-08,1.5281578715125764e-07,0.36045,0.080195,0.06121,0.00040905
94,94,180.0,5.82e-08,1.2581373371822626e-07,0.3361,0.086575,0.06319,0.00038409999999999996
95,95,180.0,4.8615e-08,1.0359456929997594e-07,0.31235,0.0933,0.06489500000000001,0.00036284999999999996
96,96,180.0,4.0615e-08,8.531826836046293e-08,0.28945,0.100455,0.06636,0.0003451
97,97,180.0,3.3935e-08,7.028039816106701e-08,0.26749999999999996,0.1081,0.06762,0.00033049999999999996
98,98,180.0,2.8355e-08,5.790443116456846e-08,0.24659999999999999,0.11624999999999999,0.06870499999999999,0.00031864999999999997
99,99,180.0,2.3695e-08,4.771917005586295e-08,0.22685,0.12510000000000002,0.06964000000000001,0.00030924999999999995
